Airline,Date_of_Journey,Source,Destination,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
IndiGo,2019-04-15,Banglore,Delhi,23:30:00,02:20:00,170,0,No info,4591
IndiGo,2019-05-18,Chennai,Kolkata,19:35:00,21:55:00,140,0,No info,3597
IndiGo,2019-05-27,Delhi,Cochin,16:10:00,22:30:00,380,1,No info,6938
Air Asia,2019-06-24,Kolkata,Banglore,19:55:00,22:25:00,150,0,No info,3807
Jet Airways,2019-06-12,Delhi,Cochin,09:00:00,19:00:00,600,1,In-flight meal not included,10262
Air India,2019-05-09,Kolkata,Banglore,08:20:00,20:25:00,725,2,No info,11432
Jet Airways,2019-03-21,Banglore,New Delhi,19:55:00,22:35:00,160,0,No info,7229
Multiple carriers,2019-05-21,Delhi,Cochin,11:30:00,19:15:00,465,1,No info,14848
Jet Airways,2019-05-15,Kolkata,Banglore,06:30:00,23:35:00,1025,1,In-flight meal not included,8586
Multiple carriers,2019-04-09,Delhi,Cochin,10:35:00,19:15:00,520,1,No info,6106
SpiceJet,2019-05-03,Kolkata,Banglore,22:20:00,00:40:00,140,0,No info,3873
Jet Airways,2019-06-15,Delhi,Cochin,11:40:00,19:00:00,440,2,In-flight meal not included,15812
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,14:25:00,1080,1,No info,12121
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,19:50:00,800,1,In-flight meal not included,8586
Multiple carriers,2019-06-12,Delhi,Cochin,07:30:00,19:15:00,705,1,No info,7354
IndiGo,2019-03-06,Kolkata,Banglore,21:25:00,00:05:00,160,0,No info,4778
IndiGo,2019-06-09,Delhi,Cochin,08:30:00,21:00:00,750,1,No info,6838
Multiple carriers,2019-03-06,Delhi,Cochin,09:45:00,22:20:00,755,1,No info,10276
Jet Airways,2019-06-18,Banglore,Delhi,08:20:00,11:20:00,180,0,No info,8016
Air India,2019-03-21,Banglore,New Delhi,08:15:00,18:30:00,615,1,No info,4943
IndiGo,2019-06-24,Banglore,Delhi,08:30:00,11:20:00,170,0,No info,4823
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,16:20:00,475,1,No info,12996
Air India,2019-05-27,Delhi,Cochin,09:00:00,19:15:00,615,1,No info,9929
Multiple carriers,2019-06-03,Delhi,Cochin,10:00:00,01:30:00,930,1,No info,9508
Air India,2019-03-21,Delhi,Cochin,18:05:00,21:10:00,185,0,No info,5674
IndiGo,2019-06-18,Chennai,Kolkata,11:35:00,14:00:00,145,0,No info,3858
IndiGo,2019-05-24,Kolkata,Banglore,22:15:00,00:50:00,155,0,No info,4804
Multiple carriers,2019-05-27,Delhi,Cochin,14:00:00,01:30:00,690,1,No info,13377
Jet Airways,2019-05-27,Delhi,Cochin,15:00:00,04:25:00,805,1,In-flight meal not included,12898
Air Asia,2019-06-01,Kolkata,Banglore,10:20:00,12:55:00,155,0,No info,4409
Air Asia,2019-06-01,Delhi,Cochin,07:55:00,22:25:00,870,1,No info,8759
Air India,2019-03-03,Banglore,New Delhi,00:30:00,23:55:00,1405,1,No info,10394
IndiGo,2019-03-18,Chennai,Kolkata,11:35:00,14:00:00,145,0,No info,3858
Air Asia,2019-06-15,Delhi,Cochin,07:55:00,13:25:00,330,1,No info,6253
Jet Airways,2019-05-27,Delhi,Cochin,19:10:00,12:35:00,1045,2,No info,15129
GoAir,2019-03-24,Kolkata,Banglore,06:35:00,14:25:00,470,1,No info,4773
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,09:20:00,1610,1,In-flight meal not included,9663
Jet Airways,2019-06-12,Kolkata,Banglore,17:00:00,09:45:00,1005,1,No info,12692
IndiGo,2019-06-06,Banglore,Delhi,01:30:00,04:15:00,165,0,No info,3943
Jet Airways,2019-05-12,Kolkata,Banglore,17:00:00,21:05:00,1685,1,In-flight meal not included,10703
IndiGo,2019-03-27,Delhi,Cochin,06:40:00,21:00:00,860,1,No info,8784
Multiple carriers,2019-06-09,Delhi,Cochin,09:15:00,19:00:00,585,1,No info,11622
IndiGo,2019-05-24,Chennai,Kolkata,22:05:00,00:25:00,140,0,No info,5277
Air Asia,2019-05-21,Delhi,Cochin,16:45:00,07:10:00,865,1,No info,8327
IndiGo,2019-03-09,Delhi,Cochin,05:35:00,08:50:00,195,0,No info,6885
Jet Airways,2019-06-12,Banglore,Delhi,17:45:00,20:45:00,180,0,No info,8016
IndiGo,2019-06-01,Delhi,Cochin,23:30:00,04:35:00,305,1,No info,10112
IndiGo,2019-03-06,Delhi,Cochin,17:30:00,01:35:00,485,1,No info,14871
Jet Airways,2019-06-09,Delhi,Cochin,09:00:00,19:00:00,600,1,In-flight meal not included,10262
Jet Airways,2019-03-24,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,In-flight meal not included,2470
Air India,2019-03-09,Delhi,Cochin,13:15:00,09:25:00,1210,2,No info,11622
Vistara,2019-05-06,Kolkata,Banglore,20:20:00,10:45:00,865,1,No info,8662
Air India,2019-06-24,Delhi,Cochin,17:15:00,19:15:00,1560,2,No info,11972
Jet Airways,2019-06-06,Delhi,Cochin,09:25:00,04:25:00,1140,2,In-flight meal not included,11992
Jet Airways,2019-05-18,Delhi,Cochin,10:00:00,04:25:00,1105,1,In-flight meal not included,12373
Multiple carriers,2019-06-01,Delhi,Cochin,10:00:00,01:30:00,930,1,No info,7198
Jet Airways,2019-06-15,Delhi,Cochin,07:05:00,12:35:00,330,1,No info,14714
IndiGo,2019-06-09,Delhi,Cochin,16:00:00,01:30:00,570,1,No info,6316
Air India,2019-03-27,Delhi,Cochin,17:40:00,08:15:00,875,1,No info,5998
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,16:20:00,1285,1,No info,13044
Multiple carriers,2019-06-12,Delhi,Cochin,13:05:00,22:30:00,565,1,No info,9646
Air Asia,2019-06-27,Delhi,Cochin,16:45:00,07:10:00,865,1,No info,6451
GoAir,2019-06-24,Delhi,Cochin,07:00:00,12:55:00,355,1,No info,5281
Jet Airways,2019-05-01,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,In-flight meal not included,2228
IndiGo,2019-06-01,Banglore,Delhi,06:05:00,08:50:00,165,0,No info,3943
Air India,2019-06-15,Delhi,Cochin,10:55:00,07:40:00,1245,2,No info,11753
Jet Airways,2019-03-21,Delhi,Cochin,13:55:00,18:50:00,1735,2,In-flight meal not included,8728
SpiceJet,2019-05-09,Delhi,Cochin,08:45:00,13:15:00,270,1,No info,4812
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,22:05:00,1745,1,No info,14151
Vistara,2019-05-01,Kolkata,Banglore,20:20:00,09:05:00,765,1,No info,8452
IndiGo,2019-03-24,Kolkata,Banglore,15:10:00,20:15:00,305,1,No info,6762
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,13:15:00,1100,1,No info,13817
Jet Airways,2019-05-21,Delhi,Cochin,14:00:00,12:35:00,1355,1,In-flight meal not included,12898
IndiGo,2019-04-06,Kolkata,Banglore,19:20:00,23:45:00,265,1,No info,3480
Jet Airways,2019-03-01,Banglore,New Delhi,11:40:00,21:20:00,580,1,1 Long layover,27992
Jet Airways,2019-03-21,Delhi,Cochin,18:25:00,04:25:00,600,2,In-flight meal not included,7791
Air India,2019-03-21,Delhi,Cochin,06:10:00,23:00:00,1010,1,No info,5704
IndiGo,2019-05-21,Kolkata,Banglore,16:35:00,22:15:00,340,1,No info,5268
GoAir,2019-06-06,Banglore,Delhi,11:40:00,14:30:00,170,0,No info,3898
SpiceJet,2019-03-15,Kolkata,Banglore,09:00:00,11:30:00,150,0,No info,3847
Multiple carriers,2019-06-12,Delhi,Cochin,07:30:00,19:00:00,690,1,No info,10877
Multiple carriers,2019-04-09,Delhi,Cochin,08:45:00,19:15:00,630,1,No info,8371
Multiple carriers,2019-06-06,Delhi,Cochin,07:10:00,22:30:00,920,1,No info,7038
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,16:20:00,590,1,No info,14571
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,09:20:00,800,1,In-flight meal not included,11841
Jet Airways,2019-05-18,Delhi,Cochin,13:25:00,12:35:00,1390,2,No info,15129
SpiceJet,2019-06-15,Kolkata,Banglore,22:20:00,00:40:00,140,0,No check-in baggage included,3841
Jet Airways,2019-06-24,Delhi,Cochin,11:30:00,12:35:00,1505,1,In-flight meal not included,10262
Air India,2019-04-06,Kolkata,Banglore,20:45:00,23:20:00,155,0,No info,4460
IndiGo,2019-03-03,Banglore,New Delhi,18:25:00,21:20:00,175,0,No info,7648
Vistara,2019-06-06,Kolkata,Banglore,07:10:00,20:20:00,790,1,No info,8610
IndiGo,2019-06-18,Chennai,Kolkata,13:15:00,15:35:00,140,0,No info,3597
IndiGo,2019-06-24,Delhi,Cochin,07:35:00,16:10:00,515,1,No info,6442
IndiGo,2019-03-09,Delhi,Cochin,06:40:00,21:00:00,860,1,No info,12351
Multiple carriers,2019-05-21,Delhi,Cochin,17:30:00,01:30:00,480,1,No info,14067
IndiGo,2019-05-15,Banglore,Delhi,20:00:00,22:50:00,170,0,No info,4823
Vistara,2019-03-24,Kolkata,Banglore,17:00:00,22:10:00,1750,1,No info,12102
Jet Airways,2019-05-24,Mumbai,Hyderabad,07:05:00,08:30:00,85,0,No info,8040
IndiGo,2019-05-09,Delhi,Cochin,02:00:00,07:25:00,325,1,No info,6582
Vistara,2019-06-12,Banglore,Delhi,11:30:00,14:20:00,170,0,No info,4668
IndiGo,2019-04-01,Banglore,Delhi,20:00:00,22:50:00,170,0,No info,4823
SpiceJet,2019-05-01,Kolkata,Banglore,22:20:00,00:40:00,140,0,No info,3873
Multiple carriers,2019-05-18,Delhi,Cochin,10:20:00,19:15:00,535,1,No info,8476
IndiGo,2019-05-27,Delhi,Cochin,07:15:00,12:30:00,315,1,No info,5636
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,19:50:00,685,1,In-flight meal not included,8586
IndiGo,2019-06-06,Banglore,Delhi,18:25:00,21:20:00,175,0,No info,4823
Air India,2019-03-06,Delhi,Cochin,05:10:00,08:00:00,170,0,No info,6881
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,22:35:00,510,1,In-flight meal not included,10844
IndiGo,2019-04-24,Kolkata,Banglore,19:35:00,23:15:00,220,1,No info,4226
Jet Airways,2019-05-09,Delhi,Cochin,19:15:00,19:00:00,1425,1,In-flight meal not included,12373
Air India,2019-06-06,Kolkata,Banglore,08:20:00,21:50:00,810,2,No info,10697
Jet Airways,2019-06-03,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,In-flight meal not included,4995
Air India,2019-06-24,Delhi,Cochin,16:40:00,19:15:00,1595,2,No info,9443
Jet Airways,2019-03-21,Delhi,Cochin,18:25:00,04:25:00,2040,2,No info,12347
Multiple carriers,2019-06-09,Delhi,Cochin,13:00:00,21:00:00,480,1,No info,7408
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,09:20:00,865,1,In-flight meal not included,7064
Jet Airways,2019-03-06,Delhi,Cochin,13:00:00,04:25:00,925,1,In-flight meal not included,13843
IndiGo,2019-04-12,Kolkata,Banglore,15:30:00,18:05:00,155,0,No info,4174
Multiple carriers,2019-05-15,Delhi,Cochin,11:35:00,21:00:00,565,3,No info,16294
SpiceJet,2019-05-18,Kolkata,Banglore,06:55:00,09:30:00,155,0,No check-in baggage included,3841
IndiGo,2019-06-15,Banglore,Delhi,04:00:00,06:50:00,170,0,No info,4423
Air India,2019-06-12,Delhi,Cochin,05:10:00,08:00:00,170,0,No info,5201
Air India,2019-03-03,Banglore,New Delhi,06:45:00,11:10:00,1705,2,No info,12599
IndiGo,2019-05-21,Mumbai,Hyderabad,06:25:00,07:55:00,90,0,No info,4049
Air India,2019-05-24,Kolkata,Banglore,09:25:00,10:30:00,1505,2,No info,12797
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,10:55:00,870,1,No info,13067
Vistara,2019-05-24,Kolkata,Banglore,20:20:00,18:50:00,1350,1,No info,9345
IndiGo,2019-05-21,Delhi,Cochin,05:05:00,12:10:00,425,1,No info,6818
Jet Airways,2019-05-03,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,No info,8040
Jet Airways,2019-06-12,Delhi,Cochin,18:20:00,12:35:00,1095,2,No info,14300
Multiple carriers,2019-05-15,Delhi,Cochin,18:15:00,01:30:00,435,1,No info,13727
Jet Airways,2019-03-21,Banglore,New Delhi,16:55:00,10:25:00,1050,1,In-flight meal not included,7832
Multiple carriers,2019-03-09,Delhi,Cochin,04:00:00,12:55:00,535,1,No info,16259
IndiGo,2019-06-27,Banglore,Delhi,08:30:00,11:20:00,170,0,No info,4823
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,08:15:00,1235,1,No info,16736
Air India,2019-06-06,Kolkata,Banglore,09:25:00,05:25:00,1200,2,No info,13217
Multiple carriers,2019-03-27,Delhi,Cochin,12:50:00,21:00:00,490,1,No info,6637
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,12:00:00,1025,1,In-flight meal not included,10844
Multiple carriers,2019-03-21,Delhi,Cochin,10:00:00,19:15:00,555,1,In-flight meal not included,8401
SpiceJet,2019-04-12,Kolkata,Banglore,09:00:00,11:25:00,145,0,No info,3873
Jet Airways,2019-06-24,Delhi,Cochin,20:00:00,04:25:00,505,2,In-flight meal not included,12410
Jet Airways,2019-05-18,Delhi,Cochin,23:05:00,12:35:00,810,2,No info,15129
IndiGo,2019-05-01,Banglore,Delhi,13:00:00,15:50:00,170,0,No info,4423
Jet Airways,2019-05-27,Delhi,Cochin,13:00:00,19:00:00,360,1,No info,16079
Air India,2019-06-06,Kolkata,Banglore,14:30:00,08:55:00,1105,2,No info,15894
Multiple carriers,2019-05-15,Delhi,Cochin,04:55:00,19:00:00,845,1,No info,9103
Air India,2019-06-12,Delhi,Cochin,09:45:00,08:15:00,1350,1,No info,8991
Air India,2019-04-01,Kolkata,Banglore,16:50:00,18:20:00,1530,2,No info,7893
IndiGo,2019-03-03,Mumbai,Hyderabad,02:30:00,04:00:00,90,0,No info,4575
SpiceJet,2019-05-03,Kolkata,Banglore,09:00:00,11:25:00,145,0,No info,3873
Jet Airways,2019-03-21,Banglore,New Delhi,05:45:00,21:20:00,935,1,In-flight meal not included,7832
IndiGo,2019-05-01,Chennai,Kolkata,14:45:00,17:05:00,140,0,No info,3597
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,23:25:00,1575,1,No info,13759
Jet Airways,2019-05-27,Banglore,Delhi,18:55:00,22:00:00,185,0,No info,7229
SpiceJet,2019-04-15,Kolkata,Banglore,06:55:00,09:30:00,155,0,No info,3873
Multiple carriers,2019-05-15,Delhi,Cochin,06:00:00,19:00:00,780,1,No info,9794
Air India,2019-03-27,Delhi,Cochin,13:30:00,08:15:00,1125,1,No info,6681
IndiGo,2019-04-21,Banglore,Delhi,21:15:00,00:15:00,180,0,No info,4423
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,19:50:00,685,1,In-flight meal not included,10844
IndiGo,2019-06-01,Delhi,Cochin,09:15:00,21:00:00,705,1,No info,7258
Jet Airways,2019-06-12,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,In-flight meal not included,4995
Jet Airways,2019-06-09,Delhi,Cochin,20:55:00,19:00:00,1325,1,No info,14924
Vistara,2019-03-15,Banglore,New Delhi,06:40:00,10:25:00,1665,1,No info,6590
Jet Airways,2019-06-03,Delhi,Cochin,20:55:00,12:35:00,940,1,In-flight meal not included,10262
SpiceJet,2019-03-09,Kolkata,Banglore,09:00:00,11:30:00,150,0,No info,5515
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,19:45:00,1475,2,In-flight meal not included,6643
IndiGo,2019-06-24,Mumbai,Hyderabad,19:05:00,20:35:00,90,0,No info,2754
IndiGo,2019-06-09,Delhi,Cochin,17:05:00,22:15:00,310,1,No info,6493
IndiGo,2019-05-24,Kolkata,Banglore,18:05:00,23:30:00,325,1,No info,6218
Air India,2019-06-06,Delhi,Cochin,05:55:00,19:15:00,800,2,No info,10861
IndiGo,2019-03-06,Delhi,Cochin,07:35:00,16:10:00,515,1,No info,7094
SpiceJet,2019-03-24,Mumbai,Hyderabad,22:45:00,00:10:00,85,0,No info,2227
Jet Airways,2019-04-21,Banglore,Delhi,19:50:00,22:50:00,180,0,In-flight meal not included,4544
Air India,2019-03-21,Banglore,New Delhi,05:50:00,16:20:00,630,2,No info,7664
Jet Airways,2019-06-27,Banglore,Delhi,17:45:00,20:45:00,180,0,No info,8016
Air Asia,2019-05-27,Kolkata,Banglore,22:50:00,01:20:00,150,0,No info,3807
Air India,2019-06-03,Delhi,Cochin,07:10:00,19:15:00,725,2,No info,12698
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,04:40:00,1330,1,In-flight meal not included,8586
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,04:40:00,1330,1,In-flight meal not included,7064
IndiGo,2019-06-09,Delhi,Cochin,05:35:00,08:50:00,195,0,No info,5601
SpiceJet,2019-05-21,Delhi,Cochin,15:45:00,22:05:00,380,1,No info,7317
Air India,2019-05-06,Kolkata,Banglore,10:00:00,10:30:00,1470,3,No info,12797
IndiGo,2019-04-06,Kolkata,Banglore,06:15:00,10:30:00,255,1,No info,4226
Jet Airways,2019-05-12,Kolkata,Banglore,17:00:00,23:35:00,395,1,No info,14151
IndiGo,2019-03-27,Delhi,Cochin,10:45:00,01:35:00,890,1,No info,6628
IndiGo,2019-03-09,Banglore,New Delhi,04:00:00,06:50:00,170,0,No info,8033
Multiple carriers,2019-06-01,Delhi,Cochin,10:35:00,19:00:00,505,1,No info,11200
IndiGo,2019-06-24,Kolkata,Banglore,15:30:00,18:05:00,155,0,No info,4804
Air Asia,2019-06-12,Kolkata,Banglore,22:40:00,10:40:00,720,1,No info,5192
Jet Airways,2019-06-12,Delhi,Cochin,09:40:00,04:25:00,1125,2,No info,13014
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,22:35:00,1525,1,In-flight meal not included,10844
Multiple carriers,2019-03-06,Delhi,Cochin,07:00:00,15:30:00,510,1,No info,15603
GoAir,2019-04-03,Banglore,Delhi,07:45:00,10:40:00,175,0,No info,4239
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,10:05:00,1200,1,No info,13044
Jet Airways,2019-05-27,Delhi,Cochin,18:15:00,19:00:00,1485,1,In-flight meal not included,12898
SpiceJet,2019-04-01,Kolkata,Banglore,08:35:00,17:15:00,520,1,No info,6013
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,22:35:00,365,1,No info,14781
Jet Airways,2019-03-21,Delhi,Cochin,17:30:00,04:25:00,655,1,No info,12557
Multiple carriers,2019-03-06,Delhi,Cochin,04:45:00,18:50:00,845,1,No info,13875
Jet Airways,2019-06-15,Delhi,Cochin,09:35:00,04:25:00,1130,2,In-flight meal not included,11507
Air India,2019-06-18,Kolkata,Banglore,14:15:00,16:45:00,150,0,No info,5510
GoAir,2019-03-24,Kolkata,Banglore,16:25:00,00:05:00,460,1,No info,10198
Jet Airways,2019-06-12,Kolkata,Banglore,10:20:00,17:35:00,435,1,No info,8355
Jet Airways,2019-06-01,Banglore,Delhi,18:55:00,22:00:00,185,0,No info,8016
IndiGo,2019-05-27,Delhi,Cochin,10:35:00,21:00:00,625,1,No info,6314
Air India,2019-03-09,Delhi,Cochin,05:10:00,08:00:00,170,0,No info,5831
Jet Airways,2019-06-24,Delhi,Cochin,19:15:00,04:25:00,550,1,In-flight meal not included,10262
Multiple carriers,2019-03-06,Delhi,Cochin,13:55:00,01:35:00,700,1,In-flight meal not included,15136
Jet Airways,2019-03-21,Banglore,New Delhi,20:35:00,10:25:00,830,1,In-flight meal not included,7832
SpiceJet,2019-03-24,Chennai,Kolkata,08:20:00,10:35:00,135,0,No info,3859
IndiGo,2019-04-06,Kolkata,Banglore,15:15:00,17:45:00,150,0,No info,4174
Jet Airways,2019-03-06,Banglore,New Delhi,05:45:00,11:25:00,340,1,No info,19225
IndiGo,2019-03-09,Delhi,Cochin,04:45:00,21:00:00,975,1,No info,10518
IndiGo,2019-04-06,Banglore,Delhi,07:10:00,10:05:00,175,0,No info,4823
Air India,2019-03-24,Banglore,New Delhi,10:00:00,12:45:00,165,0,No info,7276
Multiple carriers,2019-06-09,Delhi,Cochin,10:00:00,19:00:00,540,1,No info,12192
Air Asia,2019-06-01,Delhi,Cochin,16:45:00,07:10:00,865,1,No info,11410
Jet Airways,2019-03-01,Banglore,New Delhi,05:45:00,15:15:00,570,1,No info,26890
IndiGo,2019-06-27,Kolkata,Banglore,15:15:00,17:45:00,150,0,No info,4804
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,20:45:00,1550,1,In-flight meal not included,10844
Air India,2019-06-12,Delhi,Cochin,12:55:00,19:15:00,1820,2,No info,12436
IndiGo,2019-06-21,Banglore,Delhi,07:10:00,10:05:00,175,0,No info,4823
IndiGo,2019-06-03,Mumbai,Hyderabad,21:20:00,22:50:00,90,0,No info,2227
Jet Airways,2019-06-01,Delhi,Cochin,20:55:00,12:35:00,940,1,In-flight meal not included,10262
Jet Airways,2019-03-03,Delhi,Cochin,08:00:00,04:25:00,1225,1,No info,17024
Jet Airways,2019-03-27,Delhi,Cochin,06:20:00,04:25:00,1325,2,In-flight meal not included,9296
Air India,2019-06-06,Delhi,Cochin,18:05:00,21:10:00,185,0,No info,6094
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,04:40:00,1215,1,In-flight meal not included,8586
Jet Airways,2019-06-15,Delhi,Cochin,06:45:00,04:25:00,1300,2,In-flight meal not included,10919
GoAir,2019-06-09,Kolkata,Banglore,16:40:00,00:15:00,455,1,No info,9495
Jet Airways,2019-06-12,Delhi,Cochin,21:50:00,04:25:00,395,1,No info,14714
Air India,2019-06-24,Delhi,Cochin,14:10:00,17:10:00,180,0,No info,5201
Air India,2019-03-27,Delhi,Cochin,09:45:00,09:25:00,1420,2,No info,7090
IndiGo,2019-05-15,Mumbai,Hyderabad,09:10:00,10:40:00,90,0,No info,4575
Multiple carriers,2019-05-15,Delhi,Cochin,07:05:00,16:10:00,545,1,No info,9646
IndiGo,2019-06-12,Delhi,Cochin,02:00:00,07:25:00,325,1,No info,5636
Multiple carriers,2019-06-15,Delhi,Cochin,07:05:00,16:10:00,545,1,No info,9646
Jet Airways,2019-03-09,Mumbai,Hyderabad,19:40:00,21:10:00,90,0,In-flight meal not included,4050
Jet Airways,2019-06-09,Delhi,Cochin,21:50:00,19:00:00,1270,1,No info,14714
IndiGo,2019-06-18,Kolkata,Banglore,15:15:00,17:45:00,150,0,No info,4804
Jet Airways,2019-06-09,Delhi,Cochin,18:15:00,19:00:00,1485,1,In-flight meal not included,10577
GoAir,2019-06-15,Banglore,Delhi,20:55:00,23:40:00,165,0,No info,3898
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,12:00:00,960,1,No info,14571
Jet Airways,2019-06-18,Banglore,Delhi,06:00:00,08:45:00,165,0,No info,8016
IndiGo,2019-03-21,Delhi,Cochin,04:55:00,12:00:00,425,1,No info,6287
Air India,2019-06-06,Kolkata,Banglore,16:50:00,07:55:00,905,1,No info,8366
Jet Airways,2019-03-06,Delhi,Cochin,11:30:00,18:50:00,440,1,In-flight meal not included,15400
Vistara,2019-03-03,Banglore,New Delhi,19:40:00,22:20:00,160,0,No info,8553
SpiceJet,2019-04-09,Kolkata,Banglore,06:55:00,09:30:00,155,0,No check-in baggage included,3841
Air India,2019-04-09,Delhi,Cochin,05:55:00,07:40:00,1545,2,No info,10021
SpiceJet,2019-06-24,Chennai,Kolkata,17:45:00,20:05:00,140,0,No info,3597
IndiGo,2019-05-24,Chennai,Kolkata,11:35:00,14:00:00,145,0,No info,4332
GoAir,2019-06-21,Banglore,Delhi,20:55:00,23:40:00,165,0,No info,3898
Jet Airways,2019-03-06,Mumbai,Hyderabad,13:05:00,16:50:00,1665,2,No info,21375
Vistara,2019-06-06,Kolkata,Banglore,07:10:00,23:25:00,975,1,No info,8610
IndiGo,2019-06-15,Kolkata,Banglore,17:15:00,19:50:00,155,0,No info,4804
Air India,2019-06-01,Delhi,Cochin,14:25:00,19:15:00,1730,2,No info,13591
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,16:20:00,590,1,No info,14781
Jet Airways,2019-03-15,Banglore,New Delhi,08:00:00,13:15:00,315,1,In-flight meal not included,9134
Air India,2019-06-09,Delhi,Cochin,05:55:00,07:40:00,1545,2,No info,10493
Jet Airways,2019-03-24,Banglore,New Delhi,11:40:00,09:00:00,1280,1,In-flight meal not included,8147
SpiceJet,2019-06-21,Kolkata,Banglore,22:20:00,00:40:00,140,0,No info,3873
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,12:00:00,1025,1,No info,14571
Air India,2019-03-03,Banglore,New Delhi,10:30:00,21:25:00,655,2,No info,11003
Jet Airways,2019-06-03,Delhi,Cochin,19:15:00,04:25:00,550,1,In-flight meal not included,10262
Jet Airways,2019-03-21,Delhi,Cochin,02:15:00,18:50:00,995,1,No info,12719
Jet Airways,2019-06-24,Delhi,Cochin,20:55:00,19:00:00,1325,1,In-flight meal not included,10262
Air India,2019-06-21,Banglore,Delhi,17:00:00,19:45:00,165,0,No info,7171
SpiceJet,2019-04-27,Banglore,Delhi,05:55:00,08:35:00,160,0,No info,4423
Multiple carriers,2019-03-09,Delhi,Cochin,17:25:00,01:35:00,490,1,In-flight meal not included,12616
Air India,2019-06-01,Delhi,Cochin,17:15:00,19:15:00,1560,2,No info,12970
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,10:05:00,775,1,No info,14914
Jet Airways,2019-05-06,Mumbai,Hyderabad,02:55:00,04:20:00,85,0,In-flight meal not included,3210
GoAir,2019-04-21,Banglore,Delhi,07:45:00,10:40:00,175,0,No info,4632
Jet Airways,2019-05-09,Delhi,Cochin,17:30:00,04:25:00,655,1,In-flight meal not included,12373
IndiGo,2019-06-15,Kolkata,Banglore,14:25:00,16:55:00,150,0,No info,4804
Multiple carriers,2019-03-03,Delhi,Cochin,11:35:00,21:00:00,565,3,No info,21829
Multiple carriers,2019-06-01,Delhi,Cochin,08:00:00,21:00:00,780,1,No info,13587
Jet Airways,2019-06-27,Delhi,Cochin,23:05:00,04:25:00,1760,2,No info,12819
Air Asia,2019-03-27,Delhi,Cochin,20:10:00,07:10:00,660,1,No info,6151
Jet Airways,2019-06-01,Banglore,Delhi,15:15:00,18:10:00,175,0,No info,8016
Multiple carriers,2019-03-06,Delhi,Cochin,07:30:00,18:50:00,680,1,No info,15135
IndiGo,2019-05-21,Delhi,Cochin,17:10:00,01:30:00,500,1,No info,6794
Vistara,2019-05-15,Kolkata,Banglore,17:00:00,20:20:00,1640,1,No info,8610
Air India,2019-05-18,Kolkata,Banglore,05:50:00,12:30:00,1840,2,No info,12723
Air India,2019-06-06,Kolkata,Banglore,12:00:00,13:15:00,1515,1,No info,7662
Multiple carriers,2019-03-09,Delhi,Cochin,17:00:00,01:35:00,515,1,No info,14343
Multiple carriers,2019-06-01,Delhi,Cochin,10:20:00,01:30:00,910,1,No info,6795
SpiceJet,2019-05-09,Kolkata,Banglore,22:20:00,00:40:00,140,0,No info,3873
IndiGo,2019-06-12,Mumbai,Hyderabad,19:05:00,20:35:00,90,0,No info,2754
Air India,2019-03-06,Mumbai,Hyderabad,06:10:00,21:15:00,905,1,No info,16666
Multiple carriers,2019-06-01,Delhi,Cochin,04:55:00,12:35:00,460,1,No info,11098
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,22:05:00,1745,1,In-flight meal not included,10539
Air India,2019-05-27,Delhi,Cochin,07:00:00,19:15:00,735,1,No info,9929
